UF,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021
AC,752.281633494895,755.602182123374,757.125887055956,747.775492471321,750.59466358234,501.517794756074,365.144060209392,444.977667307935,416.376851874327,1223.39832869081
AL,985.967886026934,982.854776675632,993.751713911374,970.992985326374,974.969055694477,627.787160148379,461.295311290139,556.127522400506,528.658723320194,1142.30769230769
AM,780.89981102062,780.208844747972,786.156072099847,772.837661991237,778.23912856876,545.092548293195,400.332727879991,483.18115630376,451.911956149082,1220.53789731051
AP,778.255460800632,775.905839950442,795.34245956957,766.051952495687,770.248392324364,558.663226288704,397.733255717321,491.098286407295,463.512329290421,1182.35294117647
BA,937.547267543592,941.724800349509,940.218882691826,931.733955575122,932.72071209948,612.415052569396,445.475439939657,542.89986200852,519.313268377086,1231.88115202333
CE,846.609267046651,848.234667135249,851.727670740157,839.797414698845,841.704024929686,548.827134227626,399.18076260391,484.628871420651,464.090721324543,1199.56375838926
DF,769.637679985747,769.373492684495,762.81039197541,754.888224840128,761.517737607916,662.918363714947,482.114972976086,593.5605462213,557.279695364367,1185.71428571429
ES,744.425148684394,748.459798469837,744.194564500769,735.20917457717,736.412792836394,608.656227932407,441.693586670183,546.383555844695,506.076469424258,1161.95396899953
GO,801.764241083654,807.141495870077,797.67526131827,791.64409391204,792.0305339302,671.920653451198,483.865145055367,594.82441086176,562.633358837846,1180.95741867231
MA,866.463048500721,871.202639584015,877.134204509916,858.268112254038,861.4514900717,531.703927956314,390.299552853723,467.192434665339,458.473775519135,1076.51869158879
MG,834.10190539923,842.356317714756,827.675267935751,829.240686374302,828.482400876455,671.518133985718,482.110186758083,597.124804603682,562.481740194117,1165.58066644672
MS,762.563751556253,772.998876372306,768.470756907541,755.015723106951,765.513518059118,632.851971142723,446.419302372952,562.132278315033,526.907450229018,1254.3937232525
MT,778.398049592674,788.24138378305,782.325876179971,769.53338529665,771.586812644311,649.778453134214,461.146506984598,574.998819954535,544.764630686689,1204.0061633282
PA,809.946993504232,813.071328342158,819.260512941322,804.9980801898,807.849883025893,547.538366398766,396.525726038316,482.840883559753,463.571867198532,1091.70480549199
PB,859.155772032674,859.631293071408,865.48858765576,850.277620039119,853.077410530723,533.886787916993,394.131628679877,475.562460360813,450.14436180163,1170.41942604857
PE,990.509328643091,988.951024916728,999.313700758442,976.529433732464,983.435221749696,664.514130192094,474.758359296884,577.652323025062,548.073478815199,1194.06028368794
PI,851.899136420498,855.710409093236,856.357922918989,846.750954664159,848.347923647485,522.078657154778,382.960645011127,461.441035921559,446.4210121773,1179.06976744186
PR,783.622310988354,792.746525586743,774.345331989464,775.616200512138,777.080849406913,672.412678890964,480.789789312615,597.133705477988,562.761644394988,1311.53678711363
RJ,848.418511123338,846.157401175922,843.034290618276,835.770379871463,841.751933520483,682.271503177312,496.237928098738,610.480033102836,558.855320721293,1125.6298048492
RN,832.195930892773,833.94251812733,837.322173755106,824.096998421835,829.272805507745,564.976344066232,406.542049238496,498.126914959744,472.488325380713,1244.20759962929
RO,743.913256206695,755.345885875008,746.466073294656,738.246930450828,740.951273693608,620.224021049552,438.582390417726,547.528533640994,515.04204526749,1258.07392996109
RR,748.398711869564,753.868459206538,750.433485157845,739.634059663302,746.652909846351,564.874589665047,412.724169897645,510.456471686372,469.91127086828,1118.37455830389
RS,771.560412063445,777.970834240229,769.118262121706,763.453023697111,774.50791223568,681.962952238942,475.202747303635,593.865794643349,557.200229133592,1390.76510721248
SC,761.533141210375,773.250222775899,745.637211417493,754.556504144923,756.376098791757,698.064148095851,507.435869857063,627.975396505869,586.929244302342,1347.03716103114
SE,914.486831962304,913.830583043836,924.909712939257,904.308176907582,908.708365946785,594.171150879358,433.474460450272,527.887742835963,504.246711567994,1206.60792951542
SP,885.297855096653,891.147672263233,868.119362622639,876.767505654071,873.789633618789,755.576456882766,546.927843965745,675.846230707834,627.222054411316,1233.80544576197
TO,753.577098804534,761.153688309457,767.123349458182,748.914564536918,751.803396255411,562.6016266311,392.686185923982,484.974386418778,475.219541811706,1180.40201005025
XX,679.26267281106,653.333333333333,640.384615384615,700,896.938775510204,684.266133637921,488.593756166871,638.292252550317,682.165344486623,1872.58064516129
